songname,t,headX,headY,headZ,headRotX,headRotY,headRotZ,leftHandX,leftHandY,leftHandZ,leftHandRotX,leftHandRotY,leftHandRotZ,leftHandVelX,leftHandVelY,leftHandVelZ,leftHandAngVelX,leftHandAngVelY,leftHandAngVelZ,rightHandX,rightHandY,rightHandZ,rightHandRotX,rightHandRotY,rightHandRotZ,rightHandVelX,rightHandVelY,rightHandVelZ,rightHandAngVelX,rightHandAngVelY,rightHandAngVelZ

,2.723654,0.03153527,0.5002484,-0.4503014,303.8413,353.2702,358.7766,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

,2.723654,0.03086055,0.5001981,-0.4504751,303.7589,352.9156,359.1141,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

,2.743654,0.03092194,0.500263,-0.4504001,303.7621,353.011,358.9619,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

,2.770285,0.03102195,0.5002252,-0.4503494,303.779,353.0331,358.9466,-0.3082154,0.08843994,0.09069443,346.5942,344.6313,354.8077,-0.0003691541,-0.0006152932,-0.0003707924,-0.002159825,0.0002303143,-0.0005993313,0.6139369,0.123649,-0.02131185,351.5927,43.168,354.789,-0.00752341,0.001798614,-0.002856255,-0.0002451968,0.002011014,-0.0005768026

,2.796819,0.03114736,0.5001546,-0.4503481,303.8175,353.045,358.9739,-0.3082007,0.0883472,0.09060532,346.5901,344.6328,354.8079,-0.0005632438,-0.0009260296,-0.0009221872,-0.001407007,0.0004424296,0.0006834774,0.6140041,0.1235826,-0.02118608,351.6001,43.18597,354.7841,-0.007099013,0.00182376,-0.00162999,-0.003235702,0.001768413,-0.0006478559

,2.809073,0.03118813,0.5001522,-0.450261,303.8237,353.058,358.9624,-0.3082235,0.08836865,0.0907014,346.5956,344.6366,354.8048,-0.0003568541,-0.0008952701,1.154109E-05,-0.0009511362,0.001134507,-0.0005781057,0.6144435,0.1235795,-0.02113315,351.5911,43.16326,354.7823,-0.003704355,0.001881979,-0.001137027,-0.002980982,-0.001355211,5.358053E-05

,2.818131,0.03125083,0.5002301,-0.4502509,303.8182,353.0749,358.9385,-0.3081207,0.08849454,0.09067285,346.5918,344.6367,354.7963,0.0006455706,-6.482878E-05,-0.000109862,-0.0006268955,-0.0005154357,-0.00226958,0.6143901,0.1235901,-0.02115172,351.5945,43.16363,354.7863,-0.004269683,0.001692753,-0.001315156,1.98097E-05,-0.001090226,0.0001165764

,2.827229,0.03133857,0.5001856,-0.4502414,303.8358,353.1117,358.9018,-0.3081166,0.0884887,0.09066987,346.59,344.6396,354.7993,0.0005700795,-0.0001977508,-0.0002287257,-0.001968173,0.001244008,-0.0008859102,0.6143627,0.1235124,-0.0211314,351.5959,43.16396,354.7874,-0.004697086,0.001365627,-0.001195016,4.896531E-05,-0.001794488,0.001817221

,2.837228,0.03141499,0.5001397,-0.4501857,303.8286,353.1028,358.9144,-0.3081553,0.08851731,0.09067869,346.5919,344.637,354.8001,8.559269E-05,-0.0001447538,-0.0002022792,-0.001332853,-0.0008833419,-2.551717E-05,0.6143174,0.1235474,-0.02116042,351.5935,43.17075,354.7876,-0.004723039,0.001479279,-0.001494444,0.0005668482,0.001215141,0.0003971698

,2.853608,0.03152668,0.5000156,-0.4502127,303.8568,353.1049,358.9104,-0.3082026,0.08842421,0.09070277,346.5991,344.6376,354.8026,-0.0005766911,-0.0007832524,-1.471792E-05,0.0008913958,-9.074066E-05,0.0003031375,0.6146107,0.123364,-0.02110705,351.5895,43.15847,354.7871,-0.002779065,-3.777779E-05,-0.00113833,0.001258177,0.002140602,-0.0005556982

,2.876665,0.03168261,0.4999806,-0.4502661,303.8114,353.1346,358.8516,-0.3082511,0.08843493,0.09066272,346.5938,344.6368,354.8058,-0.00109098,-0.0002413194,-0.0003012216,-0.00159211,-0.0005634992,0.0009599222,0.6145232,0.1233647,-0.0211066,351.5594,43.13831,354.7958,-0.004015941,0.0002869719,-0.000905591,-0.002330309,-0.0008176894,0.002293711

,2.898668,0.03168762,0.5000397,-0.4502613,303.7772,353.2442,358.7597,-0.308171,0.08848774,0.09067816,346.5932,344.6378,354.799,-0.0004555546,0.000339355,0.0002481406,-0.0008182775,-0.001524539,-0.001990213,0.6144006,0.1233135,-0.021052,351.5696,43.13933,354.7953,-0.005283834,8.577193E-05,-0.0006250383,-0.0007033936,-0.001339195,-0.0006139857

,2.920304,0.0317899,0.500142,-0.4503191,303.7663,353.2837,358.7477,-0.3081894,0.08859932,0.09074509,346.5968,344.6347,354.8002,-0.0002583838,0.0002245723,0.0009521598,-0.0006962987,-0.003012527,0.000834166,0.6144969,0.1234351,-0.02106166,351.5561,43.13398,354.8002,-0.004236279,0.001420904,-0.0008355555,-0.0002502356,0.001987355,-0.0005587111

