songname,t,headX,headY,headZ,headRotX,headRotY,headRotZ,leftHandX,leftHandY,leftHandZ,leftHandRotX,leftHandRotY,leftHandRotZ,leftHandVelX,leftHandVelY,leftHandVelZ,leftHandAngVelX,leftHandAngVelY,leftHandAngVelZ,rightHandX,rightHandY,rightHandZ,rightHandRotX,rightHandRotY,rightHandRotZ,rightHandVelX,rightHandVelY,rightHandVelZ,rightHandAngVelX,rightHandAngVelY,rightHandAngVelZ

,2.418298,-0.0324657,0.6204676,-0.4385541,291.5867,6.367095,355.8341,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

,2.418298,-0.03166091,0.620699,-0.4390559,291.5351,6.799352,355.4566,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

,2.438298,-0.03106964,0.6206028,-0.4392318,291.504,6.960352,355.3053,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

,2.462061,-0.03099203,0.6204754,-0.4392993,291.5036,7.00179,355.2815,-0.2912052,0.1080101,0.1516541,345.9232,34.76572,354.8389,0.0007440955,-0.0004294001,0.0001748729,7.06716E-05,-0.0004238639,0.001147799,0.5317175,0.06789005,0.07781112,347.3365,28.54967,358.6427,0.001671646,-0.001901424,0.001223979,0.0008906052,0.0004561469,-0.0009873763

,2.487398,-0.03101766,0.6205136,-0.4393715,291.4988,7.019834,355.3122,-0.2912364,0.1078007,0.1517816,345.9251,34.77226,354.8392,0.0001768893,-0.002037861,0.0009399215,0.0003973595,0.001743676,-0.002652721,0.5314317,0.06801617,0.07770389,347.3217,28.55003,358.6504,-0.000306562,-0.001134532,-5.496159E-05,-0.002150157,0.002596209,4.32985E-06

,2.497713,-0.03101897,0.6204729,-0.4393751,291.4864,7.06668,355.27,-0.2912527,0.1077847,0.1517969,345.9225,34.76634,354.8365,-0.000300417,-0.001959256,0.001113222,-0.001352364,-0.001836356,-0.002752508,0.5313919,0.06796205,0.07771355,347.3212,28.54434,358.656,-0.0008284744,-0.001530228,7.368578E-05,-0.0003813098,-0.0002144378,0.001211061

,2.50538,-0.03100527,0.6204587,-0.4394167,291.4756,7.047769,355.2963,-0.2913237,0.1078277,0.1517081,345.9169,34.7702,354.8304,-0.0003293187,-0.001752823,0.0003987099,-0.003021231,-4.69001E-05,-0.003663045,0.5314665,0.06791663,0.07774127,347.3249,28.54576,358.6559,-0.0001309377,-0.00175846,0.0002735262,0.001051185,4.704137E-05,0.001596792

,2.51643,-0.03095722,0.6204855,-0.43944,291.4587,6.964473,355.3687,-0.2913266,0.1078176,0.1517076,345.9191,34.7714,354.8334,-0.0003110219,-0.001439249,0.0002588283,-0.0003962773,0.0008358186,-0.00174497,0.5314243,0.06797361,0.07788771,347.3338,28.53992,358.6576,-0.0003476826,-0.001275346,0.001577121,0.001560487,-0.001916927,-0.001832495

,2.527722,-0.03089941,0.6205706,-0.439422,291.4246,6.928704,355.3841,-0.2913321,0.1078109,0.1517157,345.9163,34.77138,354.8333,-0.0004174805,-0.001210358,0.0004772582,-0.00118644,-7.116943E-05,-0.0008378635,0.5315344,0.06814063,0.0778541,347.3348,28.54512,358.6504,0.0008225797,2.221562E-05,0.001308085,0.001444028,-0.0008909459,-0.002110899

,2.538828,-0.03076101,0.620583,-0.4393948,291.3929,6.940197,355.3604,-0.2911918,0.1079232,0.151827,345.9296,34.76442,354.8292,0.0007630551,-0.0007683301,0.001693724,0.0003160005,-0.003628555,-0.001849543,0.5317063,0.06807792,0.07792091,347.3355,28.54882,358.6437,0.002020056,-0.0001129001,0.001766691,-0.000539931,0.0001962444,-0.001376899

,2.549444,-0.0306834,0.6207192,-0.4394229,291.3752,6.998561,355.2825,-0.2911705,0.1079133,0.1518319,345.9262,34.76919,354.8227,0.001130445,-0.0008529352,0.001310145,-0.002915189,-0.001055755,-0.003343691,0.5317068,0.06810105,0.07779962,347.3301,28.54563,358.6427,0.001715933,-0.000266376,0.0004942974,0.0008827117,0.0004523727,-0.0009845576

,2.561362,-0.03064966,0.6207319,-0.4394149,291.3881,7.107102,355.1651,-0.2911524,0.1079011,0.1518455,345.9267,34.77195,354.8261,0.001263177,-0.0008777487,0.001238837,-0.001277649,0.0009363844,-0.001176087,0.5316677,0.06802011,0.07783097,347.3232,28.54463,358.6441,0.001083685,-0.0006574417,0.0006672842,-0.002916827,-3.731973E-05,-0.001253582

,2.572017,-0.03068519,0.6207682,-0.4394063,291.4014,7.156434,355.109,-0.2912273,0.107937,0.1517538,345.9218,34.77043,354.8312,0.001054393,-0.00105416,0.0005730885,0.0004545226,0.001917641,0.001322673,0.5315228,0.06806362,0.07780564,347.3269,28.54132,358.6532,-9.19201E-05,-0.0007527783,0.0004549632,0.002425792,-0.0003114664,-0.0003123783

,2.583572,-0.03067112,0.6207036,-0.4394021,291.4504,7.235144,355.0242,-0.2912197,0.1079172,0.1517667,345.9218,34.76819,354.8281,0.0009730298,-0.0012652,0.0007326076,-0.0006042052,0.0002532592,-1.269985E-05,0.5315239,0.06803989,0.07780057,347.3267,28.54118,358.6523,-0.0003029908,-0.0005389126,0.0002876519,0.001489276,-0.000279598,0.0001932651

,2.59495,-0.0306592,0.6206804,-0.4393291,291.4872,7.140906,355.1223,-0.2911994,0.1078897,0.151769,345.9238,34.77425,354.8265,0.00124684,-0.001650522,0.0005541312,-1.116123E-05,0.003177009,-0.001577481,0.5314572,0.06797922,0.07793707,347.3273,28.53857,358.6604,-0.0009352691,-0.001056759,0.001315049,0.0006717286,-0.001271517,0.0009767837

,2.606983,-0.03073383,0.6207131,-0.4393244,291.5346,7.085588,355.1855,-0.2912767,0.1078416,0.151844,345.9232,34.77034,354.8318,0.0001505042,-0.001521838,0.001080504,-0.0003895957,0.0008336898,-0.001746474,0.5314095,0.06799519,0.07793641,347.3291,28.53719,358.657,-0.001268991,-0.0006870715,0.001014865,0.0006181786,-0.001886721,-0.001323416

,2.617472,-0.03072667,0.6205721,-0.4393363,291.5586,7.013038,355.2766,-0.2912848,0.107831,0.1518577,345.9192,34.76925,354.834,-0.0001034487,-0.001320882,0.001118229,-0.001490091,0.0003561924,0.0005708678,0.5314238,0.06790781,0.07793504,347.329,28.54049,358.6559,-0.001091866,-0.001234482,0.0008372621,6.413231E-05,-0.0005379486,-0.0001938858

,2.628248,-0.03070009,0.6205838,-0.4393402,291.5577,6.963828,355.3364,-0.2912852,0.1078131,0.1518689,345.9211,34.76995,354.8401,-9.073564E-05,-0.00137883,0.00107796,0.001134928,0.001238612,0.002489005,0.5314825,0.06797099,0.07780784,347.3257,28.54627,358.6489,-0.0004267248,-0.0006394609,-0.0004311313,-0.0001676434,0.001509235,-0.0007405438

,2.639305,-0.03083646,0.6206012,-0.4393957,291.5534,6.948691,355.3654,-0.2913001,0.1079519,0.1517729,345.9234,34.77144,354.8259,0.0007094608,-0.001222449,0.0007669438,-0.0003926968,0.0008317741,-0.001752304,0.5312722,0.06806731,0.07776546,347.3194,28.5402,358.6523,-0.001955405,0.0001898691,-0.0005799496,-0.001375659,-0.000799483,-0.0005801148

,2.650737,-0.03083456,0.6206854,-0.4393956,291.5454,6.962341,355.3437,-0.2913034,0.1079504,0.1517827,345.9215,34.76944,354.8304,0.0004646773,-0.000903473,0.0007484545,-2.560839E-05,0.0005808556,0.0008189685,0.5312393,0.06811464,0.07776886,347.3172,28.5388,358.6573,-0.00185357,0.0004370044,-0.0004328084,-0.000385773,-0.0002160069,0.00121548

,2.662573,-0.03081334,0.6206808,-0.4394199,291.5231,6.935475,355.3513,-0.2913092,0.1079214,0.1517981,345.9232,34.76439,354.8304,0.0001713392,-0.001408274,0.0009207857,0.0004819578,-0.001865604,6.639063E-05,0.5312612,0.06822288,0.0777908,347.3238,28.54549,358.6571,-0.001429044,0.001292517,-2.724743E-05,0.001758339,0.0020623,0.0005534965

,2.673436,-0.03072167,0.6206508,-0.4394149,291.519,6.90403,355.3556,-0.2912221,0.1078955,0.1518459,345.9247,34.76355,354.8297,0.0006420546,-0.001456533,0.001129182,-0.0004043489,-0.001765516,0.0006418352,0.5314538,0.06814241,0.07784867,347.3296,28.54197,358.6465,-7.179222E-06,0.0008274156,0.0002207519,0.0009955048,-0.0005698419,-0.0007082041

,2.683649,-0.03069937,0.6206483,-0.4394068,291.5116,6.854815,355.3831,-0.2912054,0.107874,0.1518621,345.928,34.76735,354.8307,0.0009047263,-0.001665842,0.001308235,0.001755065,0.0003761504,-0.0003399796,0.5314655,0.06812465,0.07765251,347.3257,28.538,358.6444,4.793444E-05,0.0004642154,-0.001712121,0.003465576,-0.001368201,-0.0005527686

