songname,t,headX,headY,headZ,headRotX,headRotY,headRotZ,leftHandX,leftHandY,leftHandZ,leftHandRotX,leftHandRotY,leftHandRotZ,leftHandVelX,leftHandVelY,leftHandVelZ,leftHandAngVelX,leftHandAngVelY,leftHandAngVelZ,rightHandX,rightHandY,rightHandZ,rightHandRotX,rightHandRotY,rightHandRotZ,rightHandVelX,rightHandVelY,rightHandVelZ,rightHandAngVelX,rightHandAngVelY,rightHandAngVelZ

,2.550533,-0.02317882,0.5659879,-0.3717192,308.4307,355.7504,0.9723094,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

,2.550533,-0.02131593,0.563728,-0.3697251,310.2683,357.1684,359.2436,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

,2.570533,-0.02110422,0.5637469,-0.3693469,310.143,357.0425,359.0993,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

,2.59475,-0.02085984,0.5637033,-0.3692607,310.1776,357.152,358.8277,0,0,0,0,0,0,NaN,0,0,0,0,6.782285E-43,-0.09024346,0.01803589,-0.2183942,326.4048,260.4433,355.1125,-0.01340988,-0.000531107,-0.005781027,0.02465909,-0.03469564,0.02527215

,2.617728,-0.02076423,0.5636472,-0.3691825,310.1774,357.2085,358.7192,0,0,0,0,0,0,NaN,0,0,0,-2.717764E-19,6.782285E-43,-0.09065366,0.01804197,-0.2182875,326.4376,260.4372,355.0444,-0.01515876,-0.001234027,-0.001691427,0.02530015,-0.03544359,0.02842623

,2.625542,-0.02065396,0.5637261,-0.3691848,310.2817,357.2624,358.6474,0,0,0,0,0,0,NaN,0,0,0,-2.717764E-19,6.782285E-43,-0.09071684,0.01795185,-0.2182813,326.4387,260.4188,355.0569,-0.01468477,-0.001526941,-0.001286957,0.01624927,-0.03366948,0.02544058

,2.634685,-0.02060878,0.563679,-0.369237,310.4674,357.3485,358.5427,0,0,0,0,0,0,NaN,0,0,0,-2.717764E-19,6.782285E-43,-0.09085429,0.01794589,-0.2182507,326.4441,260.4096,355.0445,-0.01470157,-0.00129266,-4.698111E-05,0.01603891,-0.03280606,0.02219061

,2.641684,-0.0205785,0.5635444,-0.3693196,310.7024,357.4515,358.4049,0,0,0,0,0,0,NaN,0,0,0,-2.717764E-19,6.782285E-43,-0.09095883,0.01793528,-0.2182235,326.4547,260.4056,355.0477,-0.01455937,-0.001317742,0.0007732861,0.009638977,-0.02698485,0.02240517

,2.653034,-0.0205431,0.5633568,-0.3693426,311.0119,357.5005,358.3339,0,0,0,0,0,0,NaN,0,0,0,-2.717764E-19,6.782285E-43,-0.09125149,0.01808059,-0.2183046,326.4571,260.3807,355.0478,-0.01423566,-0.0002606267,0.0006937812,0.007062265,-0.02652448,0.01551611

,2.664697,-0.02049601,0.5629594,-0.3693025,311.3299,357.483,358.3257,0,0,0,0,0,0,NaN,0,0,0,-2.717764E-19,6.782285E-43,-0.09121072,0.01798987,-0.21826,326.4489,260.3685,355.0878,-0.01230907,-8.395846E-05,0.001498863,-0.007291628,-0.01414081,0.01098952

