songname,t,headX,headY,headZ,headRotX,headRotY,headRotZ,leftHandX,leftHandY,leftHandZ,leftHandRotX,leftHandRotY,leftHandRotZ,leftHandVelX,leftHandVelY,leftHandVelZ,leftHandAngVelX,leftHandAngVelY,leftHandAngVelZ,rightHandX,rightHandY,rightHandZ,rightHandRotX,rightHandRotY,rightHandRotZ,rightHandVelX,rightHandVelY,rightHandVelZ,rightHandAngVelX,rightHandAngVelY,rightHandAngVelZ

,11.06754,0.04876697,0.5445561,-0.5494148,313.8261,336.5469,13.24335,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

,11.06754,0.03992248,0.54678,-0.5636635,313.0566,335.5034,16.10753,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

,11.08754,0.04055464,0.5480176,-0.5655413,311.7332,336.2912,16.6363,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

,11.11898,0.04092026,0.5485814,-0.566004,311.1979,336.7569,16.53326,-0.1308264,0.4032958,-0.3217906,277.7928,45.54818,336.0257,-0.6940078,1.067997,-0.9582526,-3.655849,2.427577,5.224462,0.1249038,0.3105363,-0.1016224,322.6547,358.1813,336.9846,0.9229779,0.9199185,-0.256971,-1.23015,0.2177399,-5.315175

,11.15218,0.04154539,0.5491536,-0.5660666,310.4942,338.1295,15.66772,-0.1565956,0.435756,-0.369136,276.8062,212.2356,172.6048,-0.7000005,0.9144217,-1.122416,-4.437155,1.295235,4.243008,0.1524187,0.3494716,-0.1212868,317.6329,5.952888,326.9641,0.8836253,1.055639,-0.4947681,-2.471495,0.6012892,-4.134995

,11.17116,0.04166257,0.5488331,-0.5654047,310.7356,338.9639,15.10685,-0.1677625,0.4513471,-0.3917643,282.8759,213.2348,170.158,-0.6489248,0.8627726,-1.138867,-4.443797,0.1036305,3.713377,0.1699227,0.3756226,-0.1391806,313.0526,10.51142,323.9015,0.8730458,1.187351,-0.6889628,-3.514567,1.385686,-2.593348

