songname,t,headX,headY,headZ,headRotX,headRotY,headRotZ,leftHandX,leftHandY,leftHandZ,leftHandRotX,leftHandRotY,leftHandRotZ,leftHandVelX,leftHandVelY,leftHandVelZ,leftHandAngVelX,leftHandAngVelY,leftHandAngVelZ,rightHandX,rightHandY,rightHandZ,rightHandRotX,rightHandRotY,rightHandRotZ,rightHandVelX,rightHandVelY,rightHandVelZ,rightHandAngVelX,rightHandAngVelY,rightHandAngVelZ

3.428796,,0.4308045,0.07460475,-0.0002333065,350.8662,320.6484,359.9593,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

3.428796,,0.4308641,0.07441986,-0.0002997061,350.8696,320.6555,359.9555,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

3.448796,,0.4307787,0.07432449,-0.0002537509,350.8819,320.6501,359.9623,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

3.472259,,0.4308424,0.0743376,-0.0003091237,350.8705,320.6569,359.9648,0,0,0,0,0,0,-1.192841E-19,8.898245E-43,1.159023E-19,-8.898245E-43,1.158921E-19,8.898245E-43,0.5863781,0.08505905,0.16018,344.5858,357.8768,342.1394,-0.001525273,0.001035431,-0.0007765982,-0.0001318291,-0.0001836934,0.0007652902

3.493039,,0.4307799,0.0743804,-0.0002522608,350.8817,320.6588,359.9634,0,0,0,0,0,0,-1.192841E-19,8.898245E-43,1.159023E-19,-8.898245E-43,1.158921E-19,8.898245E-43,0.586118,0.08526242,0.1601983,344.5956,357.8806,342.1407,-0.00139688,0.00133912,-0.0004972917,0.0006365158,0.002066864,0.0009362209

3.500059,,0.4308712,0.07442367,-0.0002541086,350.8718,320.6468,359.9675,0,0,0,0,0,0,-1.192841E-19,8.898245E-43,1.159023E-19,-8.898245E-43,1.158921E-19,8.898245E-43,0.5862896,0.08517349,0.1602373,344.5918,357.8755,342.1432,-0.00130693,0.001110616,-0.0005442629,-0.0004719694,-0.0006747643,0.002147476

3.504749,,0.430882,0.07441044,-0.0002561351,350.87,320.6596,359.9605,0,0,0,0,0,0,-1.192841E-19,8.898245E-43,1.159023E-19,-8.898245E-43,1.158921E-19,8.898245E-43,0.5862803,0.08517444,0.1602355,344.5895,357.8755,342.1415,-0.001418226,0.0009861991,-0.0005205864,-0.001492737,-0.0007513514,0.001042088

3.515347,,0.4308772,0.07443702,-0.0002070805,350.8783,320.6587,359.9661,0,0,0,0,0,0,-1.192841E-19,8.898245E-43,1.159023E-19,-8.898245E-43,1.158921E-19,8.898245E-43,0.586267,0.0851742,0.1602337,344.5939,357.8758,342.1371,-0.001469866,0.0007203931,-0.0004475321,0.0008312369,-0.001376969,-0.001060637

3.526731,,0.4308581,0.0743854,-0.000189974,350.8694,320.6577,359.9599,0,0,0,0,0,0,-1.192841E-19,8.898245E-43,1.159023E-19,-8.898245E-43,1.158921E-19,8.898245E-43,0.5860393,0.08535135,0.1601947,344.5944,357.8773,342.1386,-0.001637735,0.001292652,-0.0004545109,-0.001141245,-0.0002609624,-0.0003387575

3.537745,,0.4307995,0.07442415,-0.0002009412,350.8782,320.6444,359.9675,0,0,0,0,0,0,-1.192841E-19,8.898245E-43,1.159023E-19,-8.898245E-43,1.158921E-19,8.898245E-43,0.5861993,0.08511424,0.1602759,344.5925,357.8796,342.1422,-0.00221331,0.0006489777,-0.000463723,-0.001750559,0.001422808,0.0001092603

3.548911,,0.4308038,0.07441938,-0.0003218791,350.8765,320.6562,359.958,0,0,0,0,0,0,-1.192841E-19,8.898245E-43,1.159023E-19,-8.898245E-43,1.158921E-19,8.898245E-43,0.5861847,0.08509409,0.1602821,344.5943,357.8816,342.1422,-0.001873806,-0.0001027843,-0.000140802,-0.0003825658,0.001990344,-0.0001667003

3.560094,,0.4308004,0.07441235,-0.0003305217,350.8727,320.6653,359.9546,0,0,0,0,0,0,-1.192841E-19,8.898245E-43,1.159023E-19,-8.898245E-43,1.158921E-19,8.898245E-43,0.5860956,0.08512342,0.1601155,344.5936,357.8805,342.1462,-0.001767666,-0.000341737,-0.001126413,0.002303883,0.001307262,0.003551382

3.57132,,0.4307668,0.07445967,-0.0003405949,350.8797,320.6656,359.9589,0,0,0,0,0,0,-1.192841E-19,8.898245E-43,1.159023E-19,-8.898245E-43,1.158921E-19,8.898245E-43,0.586313,0.08500612,0.160171,344.5865,357.8784,342.1421,-0.001704333,0.0001162965,-0.0009638599,-0.0004770878,-0.0006738633,0.002147684

3.582929,,0.4307568,0.07446265,-0.0001951596,350.88,320.6529,359.9661,0,0,0,0,0,0,-1.192841E-19,8.898245E-43,1.159023E-19,-8.898245E-43,1.158921E-19,8.898245E-43,0.5862985,0.08500278,0.160167,344.5889,357.8843,342.1417,-0.001601356,-1.936995E-06,-0.0007784996,0.0006512491,0.002491605,0.001912793

3.594275,,0.430738,0.07441342,-0.000185146,350.8884,320.6494,359.963,0,0,0,0,0,0,-1.192841E-19,8.898245E-43,1.159023E-19,-8.898245E-43,1.158921E-19,8.898245E-43,0.5860677,0.08514428,0.1602403,344.5976,357.8775,342.1404,-0.002325503,0.0003429088,0.0003762894,0.0008565282,-0.0009541066,-8.160411E-05

3.605643,,0.4306681,0.07442892,-0.0002090475,350.8861,320.648,359.9767,0,0,0,0,0,0,-1.192841E-19,8.898245E-43,1.159023E-19,-8.898245E-43,1.158921E-19,8.898245E-43,0.586313,0.08499706,0.1603183,344.5998,357.8853,342.1333,-0.001303302,0.0002903354,0.0005785599,0.002287123,0.001856367,-0.00365235

3.615912,,0.4306612,0.07445717,-0.000287815,350.8817,320.6552,359.9551,0,0,0,0,0,0,-1.192841E-19,8.898245E-43,1.159023E-19,-8.898245E-43,1.158921E-19,8.898245E-43,0.5862825,0.08500111,0.1603191,344.5961,357.8796,342.1408,-0.001730146,0.000275114,0.000444022,-0.0001225312,-0.0001840117,0.0007676893

3.62697,,0.4307106,0.07444012,-0.0002733013,350.864,320.6347,359.9498,0,0,0,0,0,0,-1.192841E-19,8.898245E-43,1.159023E-19,-8.898245E-43,1.158921E-19,8.898245E-43,0.5860882,0.08511126,0.1602712,344.5927,357.8837,342.1244,-0.00174444,0.0003376172,0.0003243955,-0.002163539,0.000635129,-0.007669592

3.639813,,0.430522,0.07451355,-0.0003100773,350.9008,320.657,359.9775,0,0,0,0,0,0,-1.192841E-19,8.898245E-43,1.159023E-19,-8.898245E-43,1.158921E-19,8.898245E-43,0.586375,0.0850184,0.1603434,344.5949,357.8827,342.1408,-0.001489097,0.0004757596,0.000619644,0.0002880877,0.001576061,0.002315338

3.649354,,0.4305642,0.0745548,-0.0003477475,350.8858,320.6525,359.9545,0,0,0,0,0,0,-1.192841E-19,8.898245E-43,1.159023E-19,-8.898245E-43,1.158921E-19,8.898245E-43,0.5863533,0.08504438,0.1603315,344.5893,357.8791,342.1377,-0.001603978,0.001080981,8.790911E-05,-0.00251304,-0.0008283623,-6.481622E-05

3.660298,,0.4305232,0.07446122,-0.0003237566,350.8793,320.6555,359.9738,0,0,0,0,0,0,-1.192841E-19,8.898245E-43,1.159023E-19,-8.898245E-43,1.158921E-19,8.898245E-43,0.5862181,0.08510315,0.1603013,344.5979,357.8748,342.1382,-0.001961119,0.0005728989,0.0001123097,0.001506852,-0.001792517,0.001424691

