songname,t,headX,headY,headZ,headRotX,headRotY,headRotZ,leftHandX,leftHandY,leftHandZ,leftHandRotX,leftHandRotY,leftHandRotZ,leftHandVelX,leftHandVelY,leftHandVelZ,leftHandAngVelX,leftHandAngVelY,leftHandAngVelZ,rightHandX,rightHandY,rightHandZ,rightHandRotX,rightHandRotY,rightHandRotZ,rightHandVelX,rightHandVelY,rightHandVelZ,rightHandAngVelX,rightHandAngVelY,rightHandAngVelZ

,5.661408,-0.08547103,0.4530931,-0.3333287,3.058127,354.7904,359.6693,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

,5.661408,-0.08591998,0.4543622,-0.3349032,2.586703,354.774,359.7938,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

,5.681408,-0.08578455,0.4543599,-0.3349556,2.622395,354.8057,359.7528,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

,5.704526,-0.08572805,0.4543695,-0.3349903,2.655112,354.8442,359.7545,0.08784962,0.2206438,0.02906394,341.1112,359.4115,353.6877,-0.01220866,0.01557939,-0.009611533,-0.1354993,0.05822549,0.2237912,0.5851769,0.08177674,0.09991044,346.3501,17.85102,356.2942,0.00174833,-0.002343537,0.0008502584,0.0001246674,0.0004547499,-0.0006574621

,5.726934,-0.08576703,0.4543613,-0.3349712,2.712047,354.905,359.7486,0.08747804,0.2212193,0.02880991,340.9356,359.5675,354.0533,-0.0066796,0.02007506,-0.008532121,-0.1143705,0.1210968,0.2031371,0.5850897,0.08183491,0.09993213,346.3531,17.85154,356.295,0.001866898,-0.002011883,0.0007896398,0.0001286143,0.0004552512,-0.0006575483

,5.736217,-0.08586133,0.4544004,-0.3348843,2.72724,354.9309,359.7267,0.08755541,0.2214488,0.02868962,340.9252,359.6082,354.021,-0.003074042,0.02139439,-0.008018097,-0.08857326,0.1041934,0.1352576,0.5851123,0.0818243,0.09993172,346.3506,17.85312,356.296,0.002039601,-0.0017893,0.0005678855,-0.000713922,0.001723961,0.0003841051

,5.747622,-0.0856638,0.4543298,-0.3348404,2.769531,354.9392,359.7127,0.08746135,0.2215747,0.02866036,340.903,359.6132,354.0011,-0.002680146,0.02147668,-0.006835582,-0.07155064,0.07212549,0.08156601,0.5852294,0.08174717,0.09999347,346.3484,17.85056,356.2975,0.001819624,-0.001451949,0.0008576802,-0.001311824,0.0009400045,0.001943269

,5.758821,-0.08562672,0.4542704,-0.3348382,2.789897,354.9437,359.695,0.08761203,0.2217307,0.02866292,340.8675,359.6008,353.9976,-0.001218981,0.02105482,-0.005731775,-0.06512002,0.04148219,0.05375934,0.5852945,0.08188939,0.09996474,346.35,17.85013,356.2914,0.002721287,-0.0004996673,0.0006198159,-0.00119025,-8.606103E-05,0.002193351

,5.77009,-0.08573151,0.4542691,-0.3349597,2.781158,354.9572,359.6714,0.08760238,0.2219274,0.02831811,340.8216,359.5349,354.0013,-0.00197331,0.0210655,-0.008134129,-0.06370328,-0.0003132938,0.03972291,0.5853326,0.08188307,0.09998304,346.3513,17.8523,356.2928,0.002984133,-0.0005040372,0.0009514218,-2.898233E-07,0.001264009,0.002600695

,5.781207,-0.08566868,0.4542037,-0.3348981,2.829379,354.9433,359.6708,0.08730114,0.2217872,0.02833736,340.8056,359.4766,354.0293,-0.004878527,0.01741937,-0.00629428,-0.05216539,-0.02467589,0.03469823,0.5851865,0.08190978,0.09980005,346.3423,17.84674,356.2892,0.002255687,-0.0007120025,-0.000136922,-0.0004798471,-0.0003336833,0.0008964878

,5.79294,-0.08563888,0.4541794,-0.3348604,2.8514,354.9289,359.6654,0.08727133,0.2219241,0.02832609,340.8063,359.4447,354.0215,-0.004156558,0.01562779,-0.004662004,-0.03667584,-0.03536361,0.02178524,0.5852258,0.08189762,0.09979689,346.3429,17.85401,356.2857,0.002770619,-0.0009109679,-0.0001909564,-0.0002466686,0.003527714,-0.00144076

,5.803466,-0.08577859,0.4542243,-0.3347738,2.84359,354.9173,359.6434,0.08733058,0.2220523,0.02829248,340.8098,359.4438,353.9875,-0.001600702,0.01412505,-0.003132183,-0.02439701,-0.02965043,-0.0001355571,0.5852442,0.08187997,0.09980112,346.345,17.84673,356.2902,0.002449568,-0.001143678,-2.14536E-06,0.001552551,-0.0002524668,0.000262276

,5.815117,-0.08584976,0.4540921,-0.3347241,2.843781,354.8984,359.646,0.0870949,0.2217134,0.02840286,340.7979,359.4403,354.029,-0.00243389,0.008966872,-0.000868761,-0.02458569,-0.01501251,0.0157443,0.5849471,0.08191466,0.09986228,346.3472,17.84858,356.2991,0.001402513,-0.00189667,0.0007665227,0.0001265882,0.0004524952,-0.0006528054

,5.825457,-0.08584476,0.4540728,-0.3347203,2.859806,354.8756,359.6432,0.08702803,0.2217859,0.02836472,340.776,359.438,354.1204,-0.001990983,0.008236235,-0.0007270957,-0.02645507,0.002938766,0.05328427,0.5849574,0.08190477,0.09986049,346.3432,17.85146,356.3004,0.001266844,-0.001615242,0.0005032046,-0.001732222,0.001680366,0.0007059907

,5.836812,-0.08596635,0.4541461,-0.334762,2.848478,354.8828,359.6489,0.08707511,0.2218578,0.02820784,340.731,359.4564,354.2641,-0.000615624,0.008214117,-0.001823369,-0.03807276,0.03373098,0.09937173,0.5849659,0.08188534,0.09986418,346.3425,17.84591,356.2974,0.001095839,-0.001625351,0.0004240228,-0.001957201,-0.001964752,-0.0004837657

,5.848673,-0.08597195,0.4541423,-0.3347363,2.858906,354.8851,359.649,0.087093,0.2218304,0.02824605,340.6872,359.5195,354.3488,0.001684724,0.008373096,-0.0009609446,-0.04883467,0.06774734,0.1084266,0.5851879,0.08169878,0.09987795,346.3478,17.84517,356.2944,0.001555145,-0.002425563,0.000164815,0.002104443,-0.001802977,-0.001753491

,5.859744,-0.08604133,0.4541826,-0.3347121,2.849487,354.8559,359.6365,0.08720934,0.221995,0.02824134,340.6336,359.5729,354.3465,0.003966639,0.01045115,-0.000778136,-0.05881273,0.07253183,0.07765523,0.5850687,0.0818758,0.09980834,346.3463,17.84916,356.2926,0.002074011,-0.001868994,-9.849563E-05,0.0004197116,0.0007337764,0.0003252961

,5.871098,-0.0861944,0.4542655,-0.3346906,2.81876,354.8204,359.6163,0.08747733,0.2221519,0.02807444,340.6031,359.6583,354.0613,0.009348195,0.01238274,-0.00164953,-0.05300344,0.0475842,-0.07108783,0.5851009,0.08185935,0.09979224,346.3439,17.84997,356.2929,0.002331787,-0.001766232,-0.0005257591,-0.0005964637,0.0006930947,0.0006424472

,5.881533,-0.08623838,0.4543005,-0.3346649,2.807693,354.7725,359.6414,0.0874815,0.2221525,0.02809083,340.5918,359.6922,353.9099,0.008958312,0.01123744,-0.001163243,-0.04144248,0.02439687,-0.1237674,0.585315,0.08167887,0.09980345,346.3436,17.84928,356.2894,0.002511536,-0.00246102,-0.000855569,0.0001225859,0.0004490544,-0.0006590676

,5.89287,-0.08628297,0.4543406,-0.3346316,2.752977,354.7047,359.6626,0.08749878,0.2221842,0.02809572,340.6103,359.6716,353.7813,0.006408019,0.009735879,-0.0006156491,-0.01991077,-0.01368383,-0.1449549,0.5851226,0.08182812,0.09973598,346.3444,17.84918,356.2893,0.002490421,-0.002416709,-0.0007066025,0.00012266,0.0004492126,-0.0006597002

,5.904042,-0.08648789,0.4544705,-0.334552,2.688713,354.6665,359.6772,0.08744717,0.2222248,0.02798164,340.62,359.6189,353.7722,0.002523392,0.008025588,-0.001756621,-0.009011704,-0.03652843,-0.1043963,0.5851429,0.08181465,0.09972441,346.3379,17.84503,356.2925,0.002238539,-0.0020194,-0.000792305,-0.00238644,-0.00144143,0.001793444

