songname,t,headX,headY,headZ,headRotX,headRotY,headRotZ,leftHandX,leftHandY,leftHandZ,leftHandRotX,leftHandRotY,leftHandRotZ,leftHandVelX,leftHandVelY,leftHandVelZ,leftHandAngVelX,leftHandAngVelY,leftHandAngVelZ,rightHandX,rightHandY,rightHandZ,rightHandRotX,rightHandRotY,rightHandRotZ,rightHandVelX,rightHandVelY,rightHandVelZ,rightHandAngVelX,rightHandAngVelY,rightHandAngVelZ

,1.519729,0.04858482,0.5406578,-0.5427677,296.1319,1.970329,351.1854,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

,1.519729,0.05054843,0.5401176,-0.5456673,294.9862,3.918955,349.5222,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

,1.539729,0.05054057,0.539949,-0.5448822,295.2113,3.694903,349.5836,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

,1.561511,0.05034447,0.539837,-0.5446752,295.2773,3.631145,349.5783,-0.2865226,0.09428549,0.05868083,345.9714,320.8727,345.9037,-1.668178E-05,-0.0008596368,0.0008010862,0.001956798,0.0008607535,-0.001041283,0,0,0,0,0,0,0,0,-9.949219E-44,0,0,8.702063E-43

,1.581089,0.05032527,0.5397039,-0.5438113,295.477,3.511142,349.5451,-0.2865191,0.09444964,0.05873466,345.9654,320.873,345.8934,0.0004085005,0.000455056,0.001196174,0.0002688343,-0.0009067863,-0.003099849,0,0,0,0,0,0,1.190748E-19,8.68805E-43,-1.159037E-19,-8.68805E-43,-1.158936E-19,8.68805E-43

,1.592086,0.0502975,0.5396241,-0.5435531,295.5669,3.484378,349.539,-0.2865132,0.09447122,0.05873245,345.9618,320.8717,345.8985,0.0004580788,0.0009069162,0.0007607783,-0.00278118,-0.0006926343,-0.001329245,0,0,0,0,0,0,1.190748E-19,8.68805E-43,-1.159037E-19,-8.68805E-43,-1.158936E-19,8.68805E-43

